Param_Family,Param_Area,EMI_CSV,PARAMETERCODE,Param_Description,Param_Data_Format
OMG,Granulation,EMI_0105,PP_GR_129DR2_EXHATEMP,GRAN_DRY_OUTLET_AIR_TEMP,Integer
OMG,Granulation,EMI_0105,TILE_APR_DRYING_OUTLET,GRAN_DRY_OUTLET_AIR_MOISTURE,2 Decimal Places
OMG,General,EMI_0105,TILE_GR_DISCHARGING_DATE,GENE_DATE_OF_MAN,NULL
OMG,Granulation,EMI_0105,TILE_GR_ERH_FINAL_RESULT,GRAN_ERH,2 Decimal Places
OMG,Granulation,EMI_0105,TILE_GR_PROCESS_DURATION,GRAN_PROCESS_DURATION,MM:SS
OMG,Granulation,EMI_0105,TILE_GR_RECONCIL_A,GRAN_RECON_YIELD,2 Decimal Places
OMG,Granulation,EMI_0105,TILE_GR_RECONCIL_RECONCILIATIO,GRAN_RECONCILIATION,2 Decimal Places
OMG,Granulation,EMI_0105,TILE_GR_RECONCIL_YIELD,GRAN_YIELD,2 Decimal Places
OMG,Granulation,EMI_0105,TILE_GR_ROOM_GRANULATION,GRAN_ROOM_SELECTION,NULL
TCV-116,General,EMI_0201,COMBINING_DATE,GENE_COMBINING_DATE,NULL
TCV-116,Blending,EMI_0201,PP_BL_SVT,BLEN_LOOSE_SPEC_VOL,2 Decimal Places
TCV-116,Blending,EMI_0201,PP_BL_SVT_1,BLEN_LOOSE_SPEC_VOL1,2 Decimal Places
TCV-116,Blending,EMI_0201,PP_BL_TIME,BLEN_TIME,SS
TCV-116,Compression,EMI_0201,PP_CM_ERH%,COMP_ERH,2 Decimal Places
TCV-116,Granulation,EMI_0201,PP_LP_LIQMX2_SOLTEMP,GRAN_SOLUTION_TEMPERATURE,Integer
TCV-116,Granulation,EMI_0201,TILE_APR_DRYING_SKIP_YESNO,GRAN_DRYING_SKIP,NULL
TCV-116,Blending,EMI_0201,TILE_BL_MD_TOT_NET_WEIGHT,BLEN_NET_WEIGHT_YIELD,2 Decimal Places
TCV-116,Blending,EMI_0201,TILE_BL_RECONCILIATION,BLEN_RECONCILIATION,2 Decimal Places
TCV-116,Blending,EMI_0201,TILE_BL_ROOM,BLEN_ROOM_SELECTION,NULL
TCV-116,Blending,EMI_0201,TILE_BL_YIELD,BLEN_YIELD,NULL
TCV-116,Compression,EMI_0201,TILE_CM_APR_COMPRESS_DURATION,COMP_PROCESS_DURATION,SS
TCV-116,Compression,EMI_0201,TILE_CM_APR_MAIN_COMP_F_MEAN,COMP_MAIN_COMP_FORCE_MEAN,2 Decimal Places
TCV-116,Compression,EMI_0201,TILE_CM_APR_MAIN_COMP_F_SREL,COMP_MAIN_COMP_FORCE_SREL,2 Decimal Places
TCV-116,Compression,EMI_0201,TILE_CM_APR_WEIGHT_MEAN,COMP_WEIGHT_MEAN,2 Decimal Places
TCV-116,Compression,EMI_0201,TILE_CM_APR_WEIGHT_SREL,COMP_WEIGHT_SREL,2 Decimal Places
TCV-116,Compression,EMI_0201,TILE_CM_ERH%_RETEST_1,COMP_ERH_RT1,2 Decimal Places
TCV-116,Compression,EMI_0201,TILE_CM_RECONCIL_A,COMP_RECONCIL_YIELD,2 Decimal Places
TCV-116,Compression,EMI_0201,TILE_CM_RECONCIL_FINAL_RESULT,COMP_RECONCILIATION,2 Decimal Places
TCV-116,Compression,EMI_0201,TILE_CM_RECONCIL_YIELD,COMP_YIELD,2 Decimal Places
TCV-116,Compression,EMI_0201,TILE_CM_ROOM_SELECTION,COMP_ROOM_SELECTION,NULL
TCV-116,Granulation,EMI_0201,TILE_GR_APR_DRYING_DURATION,GRAN_DRYING_DURATION,SS
TCV-116,Granulation,EMI_0201,TILE_GR_APR_SOLUTION_TEMP1,GRAN_DRYING_OUT_TEMP_SUBLOT1,Integer
TCV-116,Granulation,EMI_0201,TILE_GR_APR_SOLUTION_TEMP2,GRAN_DRYING_OUT_TEMP_SUBLOT2,Integer
TCV-116,Granulation,EMI_0201,TILE_GR_ERH_FINAL_RESULT_SLOT1,GRAN_FINAL_ERH_SUBLOT1,2 Decimal Places
TCV-116,Granulation,EMI_0201,TILE_GR_ERH_FINAL_RESULT_SLOT2,GRAN_FINAL_ERH_SUBLOT2,2 Decimal Places
TCV-116,Granulation,EMI_0201,TILE_GR_ERH_INIT_RESULT_SLOT1,GRAN_INIT_ERH_SUBLOT1,2 Decimal Places
